Task,Start,Finish,Complete,Resources
Formal progress review meeting,2019-03-06,2019-03-07,y,""""
Prepare detailed plans for stage 1 only,2019-03-06,2019-03-15,y,""""
Quality review,2019-03-15,2019-03-16,y,""""
Formal progress review meeting,2019-03-18,2019-03-17,y,""""
Provide stage 1 plans for lecturer,2019-03-18,2019-03-20,y,""""
Prepare critical path for stage 2,2019-03-18,2019-03-20,y,""""
Produce project initiation document,2019-03-06,2019-03-14,y,""""
Formal progress review meeting,2019-03-20,2019-03-21,y,""""
"Produce final review, compile all documents ready for submission",2019-03-20,2019-03-21,y,""""
Formal progress review meeting,2019-03-20,2019-03-21,y,""""
