Task,Start,Finish,Completed,Resources
Confirm user requirements,02/01/2020,08/01/2020,n,Requirements analyst
Produce options for solutions to user requirements,09/01/2020,15/01/2020,n,Requirements analyst
Quality review stage 2,16/02/2020,17/02/2020,n,Quality review team
Senior management meet to decide on which option to choose,17/01/2020,18/01/2020,n,Project Management Committee
Negotiate with hardware suppliers,20/01/2020,28/02/2020,n,Purchase Officer
Negotiate with consultancy form,21/01/2020,29/02/2020,n,""""
Produce analysis documentation specifying users needs,02/03/2020,11/03/2020,n,Systems analyst
Quality review analysis,12/03/2020,13/03/2020,n,Quality review team
Management approve and sign contracts,13/03/2020,14/03/2020,n,Project Management Committee
Delivery of hardware,14/03/2020,17/03/2020,n,""""
Install clusters in the computer suite,18/03/2020,02/04/2020,n,Computer technician
Load system software,03/04/2020,06/04/2020,n,Computer technician
Install all cabling for workstations and printers,07/04/2020,15/04/2020,n,Computer technician
"Install workstations, printers and internet connection",16/04/2020,20/04/2020,n,Computer technician
Perform basic system test to ensure hardware is working,21/04/2020,22/04/2020,n,Systems engineer
Perform basic test of internet connection,23/04/2020,24/04/2020,n,Systems engineer
Load and configure Hadoop,27/04/2020,11/05/2020,n,Systems engineer
Perform basic test of Hadoop,12/05/2020,18/05/2020,n,Systems engineer
Quality review Hardware and Hadoop installation,19/05/2020,20/05/2020,n,Quality review officer
"Prepare user instructions, training and acceptance test plans",21/05/2020,19/06/2020,n,Software support officer
"Quality review the instructions, training and acceptance test",22/06/2020,24/06/2020,n,Quality review officer
Train end users,25/06/2020,29/06/2020,n,Software support officer
Perform user acceptance test,30/06/2020,06/07/2020,n,Software support officer
Quality review of training and acceptance tests,07/07/2020,07/07/2020,n,Quality review officer
Review project,08/07/2020,21/07/2020,n,Quality review officer
Authorise live use,22/07/2020,23/07/2020,n,Project Management Committee
Monitor the usage of live systems,23/07/2020,29/07/2020,n,System Engineer
